"","FileName","Time","APOE","Sex","APOE_Sex","Injection","Age","mean_FullCellComplexity","mean_log_MaxBranchLength","mean_log_AvgBranchLength","mean_t_index"
"104","20250515_Tser05165_microglia_Probabilities_combined.xlsx",42,"APOE4","Female","APOE4 Female","PostInjection","young",1.87855490970581,3.94135767826986,3.61692858401513,0.598807509014301
"105","20250522_Tser05168_microglia_Probabilities_combined.xlsx",1,"APOE3","Female","APOE3 Female","PreInjection","young",2.08476543326542,4.06983081485475,3.75869288365541,0.596703571819161
"106","20250522_Tser05168_microglia_Probabilities_combined.xlsx",2,"APOE3","Female","APOE3 Female","PreInjection","young",2.18194910524893,4.04502921166751,3.74590112621698,0.630546290593044
"107","20250522_Tser05168_microglia_Probabilities_combined.xlsx",3,"APOE3","Female","APOE3 Female","PreInjection","young",2.16877398506936,4.16787497203479,3.8389421578617,0.58917289315671
"108","20250522_Tser05168_microglia_Probabilities_combined.xlsx",4,"APOE3","Female","APOE3 Female","PreInjection","young",2.25886051061389,4.12675134757871,3.78704511230535,0.561951707981758
"109","20250522_Tser05168_microglia_Probabilities_combined.xlsx",5,"APOE3","Female","APOE3 Female","PreInjection","young",2.25712474989806,4.13880193721445,3.82091220357073,0.606793486519092
"110","20250522_Tser05168_microglia_Probabilities_combined.xlsx",6,"APOE3","Female","APOE3 Female","PreInjection","young",2.29838153156176,4.17386113121314,3.8648631199337,0.617842234229348
"111","20250522_Tser05168_microglia_Probabilities_combined.xlsx",7,"APOE3","Female","APOE3 Female","PreInjection","young",2.25152505804733,4.19722931111117,3.84544721384915,0.583268371661
"112","20250522_Tser05168_microglia_Probabilities_combined.xlsx",8,"APOE3","Female","APOE3 Female","PreInjection","young",2.32063596694278,4.27075503755727,3.91906597891595,0.554193430959691
"113","20250522_Tser05168_microglia_Probabilities_combined.xlsx",9,"APOE3","Female","APOE3 Female","PreInjection","young",2.30119260286662,4.26619540303964,3.91285709752522,0.563997504673922
"114","20250522_Tser05168_microglia_Probabilities_combined.xlsx",10,"APOE3","Female","APOE3 Female","PreInjection","young",2.32879930640223,4.18116824317255,3.82097033049574,0.593886372052065
"115","20250522_Tser05168_microglia_Probabilities_combined.xlsx",11,"APOE3","Female","APOE3 Female","PreInjection","young",2.3411194207405,4.18579813887544,3.85373209830624,0.562776221872372
"116","20250522_Tser05168_microglia_Probabilities_combined.xlsx",12,"APOE3","Female","APOE3 Female","PreInjection","young",2.31637203376982,4.16447294288752,3.80600766045219,0.541222735662246
"117","20250522_Tser05168_microglia_Probabilities_combined.xlsx",13,"APOE3","Female","APOE3 Female","PostInjection","young",2.19381518003829,4.08170073891928,3.76552630512571,0.606482530085088
"118","20250522_Tser05168_microglia_Probabilities_combined.xlsx",14,"APOE3","Female","APOE3 Female","PostInjection","young",2.30753774680002,4.26071296869042,3.92330725544055,0.564681657169727
"119","20250522_Tser05168_microglia_Probabilities_combined.xlsx",15,"APOE3","Female","APOE3 Female","PostInjection","young",2.38850084988062,4.29107099119392,3.94643783371618,0.571741155327197
"120","20250522_Tser05168_microglia_Probabilities_combined.xlsx",16,"APOE3","Female","APOE3 Female","PostInjection","young",2.11885921774398,3.92236410927662,3.64216024136872,0.658631713887547
"121","20250522_Tser05168_microglia_Probabilities_combined.xlsx",17,"APOE3","Female","APOE3 Female","PostInjection","young",2.28182635505196,4.22312241919688,3.93228467777236,0.634234559234729
"122","20250522_Tser05168_microglia_Probabilities_combined.xlsx",18,"APOE3","Female","APOE3 Female","PostInjection","young",2.21978184199086,4.15287776823436,3.79269595415123,0.557653200627889
"123","20250522_Tser05168_microglia_Probabilities_combined.xlsx",19,"APOE3","Female","APOE3 Female","PostInjection","young",2.35595911393019,4.30212119861638,3.95898671548938,0.586336412181164
"124","20250522_Tser05168_microglia_Probabilities_combined.xlsx",20,"APOE3","Female","APOE3 Female","PostInjection","young",2.30885842193624,4.21324078023902,3.87634696722231,0.56241948071574
"125","20250522_Tser05168_microglia_Probabilities_combined.xlsx",21,"APOE3","Female","APOE3 Female","PostInjection","young",1.99074832765714,3.78141511531787,3.49270091383815,0.655202224572722
"126","20250522_Tser05168_microglia_Probabilities_combined.xlsx",22,"APOE3","Female","APOE3 Female","PostInjection","young",2.22426256333471,4.16693454758474,3.87188318382846,0.635930335483618
"127","20250522_Tser05168_microglia_Probabilities_combined.xlsx",23,"APOE3","Female","APOE3 Female","PostInjection","young",2.30270311288158,4.27943236362495,3.92127001903585,0.562801428934023
"128","20250522_Tser05168_microglia_Probabilities_combined.xlsx",24,"APOE3","Female","APOE3 Female","PostInjection","young",2.26966289300847,4.16461341081825,3.78263109777492,0.565794367901705
"129","20250522_Tser05168_microglia_Probabilities_combined.xlsx",25,"APOE3","Female","APOE3 Female","PostInjection","young",2.16584141641721,3.98978219568186,3.66074719837264,0.591156782499773
"130","20250522_Tser05168_microglia_Probabilities_combined.xlsx",26,"APOE3","Female","APOE3 Female","PostInjection","young",2.22292860176689,4.08543897767246,3.75567402070481,0.598648439767544
"131","20250522_Tser05168_microglia_Probabilities_combined.xlsx",27,"APOE3","Female","APOE3 Female","PostInjection","young",2.18766416101809,3.99040328065174,3.67116366507974,0.614940778187011
"132","20250522_Tser05168_microglia_Probabilities_combined.xlsx",28,"APOE3","Female","APOE3 Female","PostInjection","young",2.0915722749664,3.85527635009064,3.57411387401539,0.627627631890086
"133","20250522_Tser05168_microglia_Probabilities_combined.xlsx",29,"APOE3","Female","APOE3 Female","PostInjection","young",2.21941479391189,4.04707908338063,3.7199628818355,0.583737486488126
"134","20250522_Tser05168_microglia_Probabilities_combined.xlsx",30,"APOE3","Female","APOE3 Female","PostInjection","young",2.07666990222762,3.94439658234761,3.62566668762073,0.592825456769957
"135","20250522_Tser05168_microglia_Probabilities_combined.xlsx",31,"APOE3","Female","APOE3 Female","PostInjection","young",2.32891494953406,4.32516561151385,3.98582328428317,0.575237024195016
"136","20250522_Tser05168_microglia_Probabilities_combined.xlsx",32,"APOE3","Female","APOE3 Female","PostInjection","young",2.02041548065426,3.85170794885249,3.60761561487616,0.703601024170258
"137","20250522_Tser05168_microglia_Probabilities_combined.xlsx",33,"APOE3","Female","APOE3 Female","PostInjection","young",2.20121336604121,4.08206481465995,3.73157516528934,0.534985062026022
"138","20250522_Tser05168_microglia_Probabilities_combined.xlsx",34,"APOE3","Female","APOE3 Female","PostInjection","young",2.09094211378863,3.87969086952257,3.586398333566,0.610690652246505
"139","20250522_Tser05168_microglia_Probabilities_combined.xlsx",35,"APOE3","Female","APOE3 Female","PostInjection","young",2.23301350485709,3.98609184893943,3.63070898918166,0.562335289307388
"140","20250522_Tser05168_microglia_Probabilities_combined.xlsx",36,"APOE3","Female","APOE3 Female","PostInjection","young",2.11250883188671,3.91912187686302,3.61113782710595,0.609576423646756
"141","20250522_Tser05168_microglia_Probabilities_combined.xlsx",37,"APOE3","Female","APOE3 Female","PostInjection","young",2.09766669377164,3.96003924965354,3.68440679081428,0.632924718969299
"142","20250522_Tser05168_microglia_Probabilities_combined.xlsx",38,"APOE3","Female","APOE3 Female","PostInjection","young",2.15339596590042,3.87209772283368,3.59419025389995,0.639672187718225
"143","20250522_Tser05168_microglia_Probabilities_combined.xlsx",39,"APOE3","Female","APOE3 Female","PostInjection","young",2.23230383621865,4.00913541934954,3.70662635298681,0.638405640768784
"144","20250522_Tser05168_microglia_Probabilities_combined.xlsx",40,"APOE3","Female","APOE3 Female","PostInjection","young",2.23879385762913,3.93732897187179,3.58158295751599,0.57918348635696
"145","20250522_Tser05168_microglia_Probabilities_combined.xlsx",41,"APOE3","Female","APOE3 Female","PostInjection","young",2.22877514258836,4.08395820696281,3.75663275927534,0.606974246410753
"146","20250522_Tser05168_microglia_Probabilities_combined.xlsx",42,"APOE3","Female","APOE3 Female","PostInjection","young",2.18723180673968,4.25354898973778,3.90344857039761,0.594528120497723
"147","20250522_Tser05168_microglia_Probabilities_combined.xlsx",43,"APOE3","Female","APOE3 Female","PostInjection","young",2.05030888322017,3.76985696193336,3.50708329052862,0.637126400850248
"148","20250522_Tser05168_microglia_Probabilities_combined.xlsx",44,"APOE3","Female","APOE3 Female","PostInjection","young",2.2341211369408,3.92053856581719,3.65929695979608,0.643699819924402
"149","20250522_Tser05168_microglia_Probabilities_combined.xlsx",45,"APOE3","Female","APOE3 Female","PostInjection","young",2.07823464696929,3.87998434521405,3.59620286704297,0.638234353491518
"150","20250522_Tser05168_microglia_Probabilities_combined.xlsx",46,"APOE3","Female","APOE3 Female","PostInjection","young",2.51179098004989,4.38211680583081,4.00343702043502,0.487685325759414
"151","20250522_Tser05168_microglia_Probabilities_combined.xlsx",47,"APOE3","Female","APOE3 Female","PostInjection","young",2.34548121946875,4.28128669128761,3.91592565113159,0.52992051419019
